#{"t_start": 1631273319.9714222, "env_id": null}
r,l,t
1.261905,12,415.08599
1.190476,9,415.117232
-9.690476,14,415.164135
1.166667,8,415.195376
-9.761905,11,415.243656
1.119048,6,415.259275
-0.880952,6,415.290521
-9.761905,11,415.329866
-0.619048,17,415.392352
1.071429,4,415.407973
-0.761905,11,415.454838
-9.714286,13,415.501705
1.119048,6,415.532908
1.285714,13,415.579808
1.095238,5,415.59543
1.214286,10,415.642608
-0.738095,12,415.689489
1.285714,13,415.720733
1.190476,9,415.752149
1.214286,10,415.799013
1.285714,13,415.845877
-0.857143,7,415.87712
1.285714,13,415.936374
-0.785714,10,416.023514
-9.880952,6,416.220846
1.166667,8,416.267757
-9.642857,16,416.330241
-0.880952,6,416.365424
-9.738095,12,416.415333
-0.857143,7,416.449395
-0.809524,9,416.490911
1.357143,16,416.557404
-0.714286,13,416.612627
-0.761905,11,416.658011
1.285714,13,416.712488
-9.690476,14,416.762152
1.166667,8,416.793358
1.071429,4,416.808979
-9.785714,10,416.840221
-0.809524,9,416.889592
-0.738095,12,416.927415
1.190476,9,416.958657
1.214286,10,417.007481
1.166667,8,417.038733
-9.761905,11,417.069966
1.166667,8,417.101209
1.166667,8,417.132452
1.166667,8,417.163694
1.333333,15,417.246145
-9.761905,11,417.49237
-9.738095,12,417.548284
-0.785714,10,417.594172
-9.738095,12,417.648444
1.142857,7,417.67871
-0.761905,11,417.730404
-0.785714,10,417.777263
1.238095,11,417.825525
-9.666667,15,417.885154
1.261905,12,417.932737
-0.785714,10,417.974625
1.119048,6,418.001552
1.142857,7,418.030438
-9.833333,8,418.057371
1.190476,9,418.091275
-9.809524,9,418.127464
-9.690476,14,418.180032
-9.761905,11,418.216695
1.071429,4,418.233489
1.285714,13,418.280393
-9.714286,13,418.344699
1.095238,5,418.36032
1.261905,12,418.407184
1.357143,16,418.46967
1.214286,10,418.516534
1.166667,8,418.697488
-0.690476,14,418.775557
1.309524,14,418.82242
1.214286,10,418.853664
1.119048,6,418.884907
1.071429,4,418.900528
-0.738095,12,418.947392
1.166667,8,418.984686
-0.785714,10,419.016237
-0.761905,11,419.063102
-0.785714,10,419.109964
-0.761905,11,419.156829
1.190476,9,419.188072
-9.761905,11,419.236115
-0.809524,9,419.267358
1.190476,9,419.298601
1.190476,9,419.329844
1.285714,13,419.392329
-9.833333,8,419.423571
-9.761905,11,419.475654
-0.809524,9,419.512555
1.261905,12,419.569437
1.285714,13,419.624257
1.214286,10,419.667175
-0.785714,10,419.70903
1.166667,8,419.731039
1.142857,7,419.964531
-0.785714,10,420.011059
1.190476,9,420.050879
1.142857,7,420.083289
-0.761905,11,420.131286
1.261905,12,420.183342
1.166667,8,420.215752
-0.833333,8,420.249583
-0.761905,11,420.297617
1.071429,4,420.318454
1.261905,12,420.370247
1.166667,8,420.409052
-0.738095,12,420.466219
1.095238,5,420.491155
1.214286,10,420.539018
1.261905,12,420.596041
1.190476,9,420.638161
-9.809524,9,420.677263
1.095238,5,420.703532
-0.761905,11,420.753415
-0.785714,10,420.801939
-0.714286,13,420.861946
1.095238,5,420.885641
-0.904762,5,420.910579
-0.880952,6,420.930343
-0.809524,9,420.975111
-9.714286,13,421.032081
1.190476,9,421.073965
-0.880952,6,421.102924
1.119048,6,421.325971
1.214286,10,421.372846
-0.833333,8,421.411452
-0.761905,11,421.461442
1.261905,12,421.513832
1.190476,9,421.547148
-0.785714,10,421.594051
-0.809524,9,421.625289
-0.880952,6,421.661181
-0.738095,12,421.712518
1.285714,13,421.773355
1.095238,5,421.796294
-0.714286,13,421.858227
1.309524,14,421.918067
-0.904762,5,421.943036
-9.690476,14,421.995335
1.333333,15,422.056577
-0.761905,11,422.090177
1.095238,5,422.121373
1.261905,12,422.168269
-9.714286,13,422.212002
-0.738095,12,422.259945
1.142857,7,422.291003
1.214286,10,422.322692
1.261905,12,422.369555
1.261905,12,422.588343
1.142857,7,422.619547
1.214286,10,422.650793
-0.738095,12,422.697654
1.166667,8,422.728898
-9.690476,14,422.791382
-0.761905,11,422.822625
-9.738095,12,422.86949
1.238095,11,422.916392
1.166667,8,422.947597
-0.904762,5,422.963257
-0.761905,11,423.010081
1.214286,10,423.055032
1.166667,8,423.076292
1.285714,13,423.123144
1.190476,9,423.17001
-9.785714,10,423.201252
1.166667,8,423.234293
1.238095,11,423.281157
1.166667,8,423.303162
1.214286,10,423.350868
-9.642857,16,423.412196
1.071429,4,423.427781
1.238095,11,423.459023
1.190476,9,423.50936
-9.738095,12,423.717942
1.261905,12,423.764845
1.214286,10,423.796605
1.238095,11,423.827848
1.142857,7,423.859091
1.119048,6,423.890334
-0.880952,6,423.915625
-9.642857,16,423.97811
-0.857143,7,424.009353
-9.738095,12,424.060554
1.166667,8,424.077651
-0.833333,8,424.124514
-0.857143,7,424.155756
1.095238,5,424.171377
-0.714286,13,424.227019
-0.809524,9,424.264368
1.309524,14,424.317605
-0.785714,10,424.348292
1.142857,7,424.379571
-9.761905,11,424.431422
1.142857,7,424.46074
-9.690476,14,424.507605
1.285714,13,424.566927
1.142857,7,424.584603
1.190476,9,424.631469
