,date,reference,paymentDelay,createdAt,identifier,paymentMethod,paye,client,numeroCheque,ID_Produits,id,status
0,2019-04-29T11:24:54.068Z,1000065,2021-08-08T00:16:55.063Z,2019-04-29T11:24:54.068Z,-984115155000,check,True,189700,,{38550: 24},1035650,True
0,2020-10-15T22:00:00Z,1000383,2021-01-25T23:00:00Z,2020-10-16T11:00:55.757Z,-1152632160000,traite,True,188100,,"{38400: 48, 38450: 48, 38550: 48}",1035650,True
0,2019-07-07T22:11:50.068Z,1000091,2021-08-08T00:16:55.663Z,2019-07-07T22:11:50.068Z,-692457322000,check,True,189900,,{},1035650,True
0,2020-10-21T22:00:00Z,1000390,2020-10-21T22:00:00Z,2020-10-21T08:23:42.286Z,-2117407083000,traite,True,189100,,"{38350: 12, 38400: 24, 38650: 12, 38450: 12, 38300: 12, 38600: 12, 38550: 24}",1035650,True
0,2019-02-14T17:14:44.068Z,1000031,2021-08-08T00:16:56.264Z,2019-02-14T17:14:44.068Z,1288351925000,check,True,189700,,"{38400: 12, 38350: 12, 38550: 12}",1035650,True
0,2020-03-03T13:45:50.068Z,1000260,2021-08-08T00:16:56.564Z,2020-03-03T13:45:50.068Z,-505153821000,check,True,189450,,{38400: 48},1035650,True
0,2021-01-04T23:00:00Z,1100011,2021-04-24T23:00:00Z,2021-01-06T10:12:10.749Z,1385774205000,traite,True,190200,,"{38600: 48, 38450: 48, 38500: 96, 38300: 48}",1035650,True
0,2020-05-07T13:18:44.068Z,1000276,2021-08-08T00:16:57.161Z,2020-05-07T12:18:54.068Z,-1389828742000,check,True,189700,,"{38300: 48, 38600: 48}",1035650,True
0,2021-01-30T23:00:00Z,1100035,2021-04-24T23:00:00Z,2021-02-02T15:41:02.423Z,-240713281000,traite,True,190200,,{},1035650,True
0,2019-08-01T22:38:19.068Z,1000105,2021-08-08T00:16:57.761Z,2019-08-01T22:38:19.068Z,52769769000,check,True,189700,,{38600: 12},1035650,True
0,2020-09-16T22:00:00Z,1000351,2020-11-16T23:00:00Z,2020-09-21T08:18:21.867Z,-1397041564000,traite,True,188450,,{38350: 96},1035650,True
0,2019-08-16T15:04:27.068Z,1000114,2021-08-08T00:16:58.357Z,2019-08-16T15:04:27.068Z,-1913659559000,check,True,189300,,"{38300: 48, 38350: 48}",1035650,True
0,2019-11-14T09:19:53.068Z,1000181,2021-08-08T00:16:58.655Z,2019-11-14T09:19:53.068Z,-170000124000,check,True,190350,,{38500: 12},1035650,True
0,2020-02-07T09:21:22.068Z,1000232,2021-08-08T00:16:58.952Z,2020-02-07T09:21:22.068Z,416674796000,check,True,190200,,"{38550: 280, 38350: 70}",1035650,True
0,2019-07-08T11:33:43.068Z,1000092,2021-08-08T00:16:59.250Z,2019-07-08T11:33:43.068Z,-2121662518000,check,True,189950,,"{38350: 96, 38300: 144, 38600: 192}",1035650,True
0,2019-02-01T16:47:46.068Z,1000019,2021-08-08T00:16:59.551Z,2019-02-01T16:47:46.068Z,1861192486000,check,True,189300,,"{38550: 2, 38350: 1}",1035650,True
0,2019-03-08T15:49:43.068Z,1000042,2021-08-08T00:16:59.855Z,2019-03-08T15:49:43.068Z,1007144675000,check,True,189950,,"{38600: 48, 38350: 144, 38550: 96}",1035650,True
0,2021-01-25T23:00:00Z,1100032,2021-08-08T00:17:00.170Z,2021-01-28T11:34:11.483Z,892704653000,check,True,188750,,"{38400: 144, 38600: 48}",1035650,True
0,2021-01-02T23:00:00Z,1100006,2021-08-08T00:17:00.471Z,2021-01-04T12:18:38.245Z,841389873000,check,True,189400,,"{38500: 48, 38550: 144, 38350: 48}",1035650,True
0,2019-01-22T09:08:52.068Z,1000012,2021-08-08T00:17:00.770Z,2019-01-22T09:08:52.068Z,402353145000,check,True,189300,,"{38350: 48, 38600: 48, 38400: 48}",1035650,True
0,2019-07-08T11:37:00.068Z,1000093,2021-08-08T00:17:01.069Z,2019-07-08T11:37:00.068Z,-1886659728000,check,True,189000,,"{38350: 24, 38600: 24}",1035650,True
0,2019-04-23T10:07:20.068Z,1000063,2021-08-08T00:17:01.369Z,2019-04-23T10:07:20.068Z,1621642067000,check,True,189000,,"{38550: 12, 38350: 12}",1035650,True
0,2020-12-03T23:00:00Z,1000417,2021-02-02T08:00:00Z,2020-12-03T08:30:06.983Z,86086074000,traite,True,189750,222,"{38650: 48, 38450: 96, 38550: 48, 38400: 96}",1035650,True
0,2020-09-28T22:00:00Z,1000358,2020-09-27T22:00:00Z,2020-09-27T15:45:53.304Z,966447689000,traite,True,190300,,"{38300: 6, 38550: 6, 38650: 6, 38350: 6, 38400: 6, 38450: 6, 38500: 6}",1035650,True
0,2020-10-11T22:00:00Z,1000382,2021-02-03T23:00:00Z,2020-10-13T12:28:07.777Z,201117459000,traite,True,189700,,"{38550: 60, 38400: 60, 38300: 12, 38500: 12, 38350: 12, 38600: 48, 38650: 48}",1035650,True
0,2021-02-07T23:00:00Z,1100041,2021-04-11T22:00:00Z,2021-02-10T13:28:28.446Z,-1072211769000,traite,True,188700,,"{38500: 48, 38550: 48, 38450: 48, 38300: 48, 38600: 48}",1035650,True
0,2021-02-06T23:00:00Z,1100039,2021-04-12T23:00:00Z,2021-02-09T09:12:42.096Z,-524760237000,traite,True,188900,,"{38600: 48, 38350: 48, 38400: 48}",1035650,True
0,2019-03-31T17:35:54.068Z,1000055,2021-08-08T00:17:03.508Z,2019-03-31T17:35:54.068Z,-1920955809000,check,True,190200,,"{38600: 168, 38550: 210}",1035650,True
0,2019-08-27T21:28:48.068Z,1000120,2021-08-08T00:17:03.806Z,2019-08-27T21:28:48.068Z,68322059000,check,True,189100,,"{38400: 24, 38600: 24, 38350: 12}",1035650,True
0,2020-01-14T13:14:40.068Z,1000214,2021-08-08T00:17:04.105Z,2020-01-14T13:14:40.068Z,1213345571000,check,True,189950,,"{38300: 160, 38550: 240, 38600: 160, 38400: 480}",1035650,True
0,2019-02-21T15:58:46.068Z,1000034,2021-08-08T00:17:04.418Z,2019-02-21T15:58:46.068Z,134682646000,check,True,190200,,{38400: 96},1035650,True
0,2019-12-03T19:52:43.068Z,1000188,2021-08-08T00:17:04.727Z,2019-12-03T19:52:43.068Z,-1280633387000,check,True,189000,,"{38550: 48, 38400: 96}",1035650,True
0,2019-05-31T14:16:20.068Z,1000075,2021-08-08T00:17:05.026Z,2019-05-31T14:16:20.068Z,-1749810982000,check,True,189950,,{38600: 42},1035650,True
0,2019-10-07T21:17:37.068Z,1000159,2021-08-08T00:17:05.325Z,2019-10-07T21:17:37.068Z,-937006667000,check,True,189950,,"{38600: 120, 38400: 240, 38550: 240, 38350: 144}",1035650,True
0,2019-08-30T21:50:02.068Z,1000124,2021-08-08T00:17:05.626Z,2019-08-30T21:50:02.068Z,487904829000,check,True,189450,,"{38550: 24, 38500: 24}",1035650,True
0,2019-10-03T18:48:45.068Z,1000154,2021-08-08T00:17:05.925Z,2019-10-03T18:48:45.068Z,544024996000,check,True,190350,,"{38400: 48, 38550: 48, 38500: 6}",1035650,True
0,2021-01-19T23:00:00Z,1100026,2021-08-08T00:17:06.223Z,2021-01-20T09:44:03.464Z,950049493000,check,True,190350,,{},1035650,True
0,2019-09-02T13:19:02.068Z,1000126,2021-08-08T00:17:06.523Z,2019-09-02T13:19:02.068Z,793859046000,check,True,189000,,"{38300: 12, 38600: 12}",1035650,True
0,2020-10-20T22:00:00Z,1000391,2021-03-20T07:00:00Z,2020-10-21T08:32:20.136Z,-530546624000,traite,True,190450,0000,"{38350: 24, 38500: 24, 38550: 48, 38600: 24, 38300: 12, 38450: 48, 38650: 24}",1035650,True
0,2020-03-02T17:42:51.068Z,1000255,2021-08-08T00:17:07.132Z,2020-03-01T17:43:21.068Z,-738775153000,check,True,188100,,"{38550: 48, 38400: 48, 38600: 70}",1035650,True
0,2021-01-07T23:00:00Z,1100018,2021-08-08T00:17:07.430Z,2021-01-08T10:51:47.376Z,-1923176498000,check,True,189100,15487,"{38400: 48, 38450: 24, 38300: 24}",1035650,True
0,2020-06-01T10:26:20.068Z,1000285,2021-08-08T00:17:07.731Z,2020-05-28T09:26:39.068Z,1726467694000,check,True,189400,,{},1035650,True
