file name,Method,Profit,Volume,Duration
test100-SC(1).txt,My constructive  & No Taboo,0,0,0:00:00.053699
file name,Method,Profit,Volume,Duration
test100-SC(2).txt,My constructive  & No Taboo,0,0,0:00:00.046604
