Date,Quantité
2019-01-07,48
2019-01-17,48
2019-01-22,48
2019-01-25,60
2019-01-30,48
2019-02-06,24
2019-02-15,15
2019-02-16,96
2019-02-21,96
2019-03-08,192
2019-03-31,210
2019-05-10,240
2019-06-19,192
2019-08-08,144
2019-08-28,192
2019-09-11,96
2019-09-28,240
2019-10-03,96
2019-10-09,240
2019-10-26,240
2019-11-26,240
2019-12-15,144
2020-01-03,240
2020-01-09,240
2020-01-20,350
2020-02-07,490
2020-03-09,480
2020-10-01,96
2020-11-05,144
2020-12-09,48
2021-01-02,1000
2021-03-10,656
2021-04-17,800
2021-06-22,200
2021-07-15,240
2021-09-17,1200
2021-11-02,1200
2021-12-09,240
