Date,Quantité
2019-01-11,24
2019-01-18,24
2019-01-24,48
2019-02-04,16
2019-02-06,20
2019-02-11,24
2019-02-14,192
2019-03-08,240
2019-04-20,288
2019-05-31,60
2019-06-19,192
2019-07-31,96
2019-08-25,144
2019-09-04,144
2019-10-07,240
2019-11-05,240
2019-11-14,96
2019-11-23,288
2019-12-11,96
2020-01-03,240
2020-01-14,480
2020-01-27,490
2020-02-09,1200
2020-02-15,800
2020-06-30,144
2020-08-11,480
2020-09-02,1200
2020-11-10,240
2020-11-17,1200
2021-01-31,1200
2021-03-14,1200
2021-05-01,2400
2021-10-01,2400
2021-12-01,1200
2021-12-01,1200
2021-12-21,480
